TRADEDATE;CLOSE;OPEN;HIGH;LOW
01.12.2009;9126,14;8906,68;9139,94;8834,7
02.12.2009;9176,81;9116,75;9275,3;9068,62
03.12.2009;9079,5;9170,16;9336,83;9079,5
04.12.2009;9300,71;9092,64;9317,68;8982,25
07.12.2009;9150,61;9288,69;9288,69;9057,13
08.12.2009;9039,61;9146,71;9206,94;8995,14
09.12.2009;8995,81;9028,7;9115,42;8936,68
10.12.2009;9028,19;8996,28;9073,65;8873,77
11.12.2009;9028,63;9028,19;9116,12;8998,39
14.12.2009;9128,26;9028,63;9131,12;8938,93
15.12.2009;9263,7;9128,26;9263,85;9101,75
16.12.2009;9703,78;9265,12;9707,19;9232,91
17.12.2009;9493,05;9702,98;9803,98;9472,41
18.12.2009;9536,11;9517,5;9662,2;9488,66
21.12.2009;9588,69;9546,37;9645,21;9504,11
22.12.2009;9529,11;9590,15;9614,98;9471,27
23.12.2009;9529,42;9529,11;9574,87;9485,09
24.12.2009;9420,93;9529,9;9668,45;9338,51
25.12.2009;9472,45;9420,93;9475,65;9352,51
28.12.2009;9505,43;9483,67;9541,29;9461,42
29.12.2009;9582,94;9515,23;9586,65;9462,77
30.12.2009;9517,36;9581,45;9583,07;9489,86
31.12.2009;9568,83;9517,36;9596,48;9517,36
11.01.2010;10133,46;9568,83;10225,22;9568,83
12.01.2010;10010,94;10110,57;10166,63;9986,35
13.01.2010;10036,99;10010,94;10123,41;9887,06
14.01.2010;10157,84;10036,49;10168,59;10034,98
15.01.2010;10138,2;10157,84;10254,33;10112,19
18.01.2010;10304,06;10138,2;10304,06;10095,28
19.01.2010;10325,48;10304,06;10332,76;10140,37
20.01.2010;10181,32;10325,1;10397,99;10166,34
21.01.2010;9991,57;10177,9;10234,97;9989,18
22.01.2010;9776,53;9993,46;10014;9688,77
25.01.2010;9841,54;9790,87;9900,76;9691,45
26.01.2010;9620,86;9837,23;9868,51;9516,56
27.01.2010;9640,29;9625,18;9742,72;9456,85
28.01.2010;9741,57;9652,82;9869,37;9594,78
29.01.2010;9827,37;9719,23;9830,1;9636,42
01.02.2010;9816,93;9827,37;9827,61;9666,62
02.02.2010;9936,16;9818,16;9941,34;9804,13
03.02.2010;9906,65;9936,16;10066,42;9897,29
04.02.2010;9654,68;9910,15;9960,45;9623,61
05.02.2010;9401,63;9648,6;9685,54;9306,62
08.02.2010;9165,36;9401,63;9502,74;9139,02
09.02.2010;9248,01;9165,36;9310,58;9143,39
10.02.2010;9180,23;9248,01;9412,53;9123,96
11.02.2010;9192,16;9180,23;9328,29;9129,98
12.02.2010;8999,47;9192,16;9306,16;8932,79
15.02.2010;9083,81;8999,47;9089,38;8979,14
16.02.2010;9367,89;9083,81;9367,89;9066,47
17.02.2010;9338,4;9367,89;9452,06;9312,43
18.02.2010;9233,08;9338,4;9373,91;9128,96
19.02.2010;9352,65;9233,08;9353,09;9035,34
24.02.2010;9163,76;9352,65;9391,3;9093,34
25.02.2010;8977,26;9163,76;9265,18;8900,26
26.02.2010;9090,37;8977,26;9093,3;8942,2
27.02.2010;9154,18;9090,37;9161,09;9074,51
01.03.2010;9345,11;9154,18;9363,95;9107,01
02.03.2010;9427,21;9345,11;9470,52;9297,79
03.03.2010;9507,07;9427,21;9536,62;9337,75
04.03.2010;9549,25;9507,07;9630,84;9416,2
05.03.2010;9768,22;9549,25;9773,57;9533,16
09.03.2010;9758,3;9768,22;9825,31;9633,25
10.03.2010;9662,37;9758,3;9820,65;9628,15
11.03.2010;9622,13;9662,37;9730,76;9568,06
12.03.2010;9760,81;9622,13;9836,09;9605,25
15.03.2010;9650,72;9760,81;9781,65;9640,39
16.03.2010;9787,32;9650,72;9787,46;9640,88
17.03.2010;9894,54;9787,32;9943,62;9767,93
18.03.2010;9880,64;9894,54;9987,66;9807,24
19.03.2010;9786,52;9880,64;9932,23;9755,14
22.03.2010;9748,49;9786,52;9801,76;9616,8
23.03.2010;9703,44;9748,49;9836,48;9649,39
24.03.2010;9669,89;9703,44;9757,8;9614,8
25.03.2010;9657,68;9669,89;9706,38;9579,61
26.03.2010;9676,07;9657,68;9724,95;9599,62
29.03.2010;9874,5;9676,07;9880,55;9633,81
30.03.2010;9901,47;9874,5;9948,14;9825,53
31.03.2010;9955,03;9901,47;10041,51;9859,04
01.04.2010;10166,64;9955,03;10192,75;9931,69
02.04.2010;10157;10166,64;10226,44;10110,43
05.04.2010;10198,96;10157;10215,95;10111,78
06.04.2010;10314,77;10198,96;10348,18;10151,15
07.04.2010;10173,66;10314,77;10341,01;10161,78
08.04.2010;10133,26;10173,66;10205,07;10031,18
09.04.2010;10284,85;10133,26;10320,54;10123,64
12.04.2010;10313,28;10284,85;10381,11;10226,58
13.04.2010;10276,83;10313,28;10361,09;10221
14.04.2010;10467,01;10276,83;10468,33;10273,47
15.04.2010;10508,53;10467,01;10555,38;10416,03
16.04.2010;10263,38;10508,53;10518,53;10260,89
19.04.2010;10028,88;10263,38;10287,87;9876,96
20.04.2010;10122,79;10028,88;10178,96;9998,89
21.04.2010;10064,61;10122,79;10209,32;10030,06
22.04.2010;9897,57;10064,61;10117;9845,48
23.04.2010;10052,71;9897,57;10061,75;9886,78
26.04.2010;10173,02;10052,71;10210,12;10028,13
27.04.2010;10033,47;10173,02;10173,02;9972,58
28.04.2010;9789,53;10033,47;10033,47;9757,62
29.04.2010;9957,02;9789,53;9962,9;9750,76
30.04.2010;9811,96;9957,02;9969,59;9782,13
04.05.2010;9526,26;9811,96;9912,19;9524,64
05.05.2010;9444,72;9526,26;9619,81;9302,31
06.05.2010;9379,67;9444,72;9549,67;9344,99
07.05.2010;8872,6;9379,67;9379,67;8807,19
11.05.2010;9193,75;8872,6;9258,95;8769,68
12.05.2010;9579,54;9193,75;9619,56;9136,79
13.05.2010;9497,52;9579,54;9775,12;9375,78
14.05.2010;9284,64;9497,52;9521,86;9254,89
17.05.2010;9291,92;9284,64;9346,19;9040,47
18.05.2010;9334,58;9291,92;9394,38;9178,81
19.05.2010;9042,24;9334,58;9368,54;8975,31
20.05.2010;8652,57;9042,24;9171,83;8627,93
21.05.2010;8609,16;8652,57;8766,7;8439
24.05.2010;8675,08;8609,16;8763,39;8526,87
25.05.2010;8176,05;8675,08;8721,68;8159,91
26.05.2010;8660,14;8176,05;8669,38;8176,05
27.05.2010;8976,67;8660,14;9010,96;8578,52
28.05.2010;8985,64;8976,67;9043,74;8870,2
31.05.2010;9150,58;8985,64;9152,13;8886,33
01.06.2010;9109,88;9150,58;9166,49;8886,32
02.06.2010;9240,27;9109,88;9273,72;8944,57
03.06.2010;9294,11;9240,27;9461,97;9238,34
04.06.2010;9160,47;9294,11;9476,3;9083,33
07.06.2010;9097,53;9160,47;9160,47;8857,82
08.06.2010;8948,97;9097,53;9214,93;8925,63
09.06.2010;9049,53;8948,97;9118,22;8948,97
10.06.2010;9241,31;9049,53;9244,21;8949,15
11.06.2010;9202,08;9241,31;9307,26;9124,36
15.06.2010;9453,42;9202,08;9454,29;9179,54
16.06.2010;9436,79;9453,42;9538,04;9333,83
17.06.2010;9321,07;9436,79;9533,17;9287,67
18.06.2010;9411,28;9321,07;9424,43;9271,14
21.06.2010;9702,2;9414,59;9709,95;9408,29
22.06.2010;9564,49;9702,2;9702,2;9505,69
23.06.2010;9480,89;9564,49;9617,03;9438
24.06.2010;9369,39;9480,89;9565,98;9352,29
25.06.2010;9247,47;9369,39;9414,91;9236,9
28.06.2010;9364,32;9247,47;9411,2;9193,77
29.06.2010;9099,89;9364,32;9399,32;9043,6
30.06.2010;8979,23;9099,89;9142,99;8933,94
01.07.2010;8572,75;8979,23;9185,01;8569,75
02.07.2010;8796,43;8572,75;8813,44;8546,11
05.07.2010;8820,58;8796,43;8871,05;8756,14
06.07.2010;9061,46;8820,58;9069,26;8803,81
07.07.2010;9064,6;9061,46;9069,34;8838,99
08.07.2010;9009,62;9064,6;9200,59;9008,61
09.07.2010;9050,25;9009,62;9104,04;8928,16
12.07.2010;9231,13;9050,25;9264,94;9013,03
13.07.2010;9378,66;9231,13;9437,73;9166,22
14.07.2010;9330,5;9378,66;9477,95;9293,47
15.07.2010;9205,17;9330,5;9472,83;9198,94
16.07.2010;9105,13;9205,17;9309,48;9077,31
19.07.2010;9155,33;9105,13;9243,11;9052,36
20.07.2010;9103,53;9155,33;9263,29;9039,47
21.07.2010;9313,25;9103,53;9356,4;9103,53
22.07.2010;9498,57;9313,25;9507,61;9225,62
23.07.2010;9523,11;9498,57;9569,23;9448,52
26.07.2010;9639,1;9523,11;9657,51;9506,52
27.07.2010;9682;9639,1;9768,54;9599,62
28.07.2010;9638,28;9682;9751,32;9569,29
29.07.2010;9802,66;9638,28;9857,68;9626,86
30.07.2010;9648,34;9802,66;9807,58;9535,46
02.08.2010;9874,29;9648,34;9889,14;9603,13
03.08.2010;9734,25;9874,29;9925,38;9685,35
04.08.2010;9772,65;9734,25;9863,27;9644,57
05.08.2010;9755,81;9772,65;9861,64;9694,13
06.08.2010;9664,52;9755,81;9820,88;9627,28
09.08.2010;9791,7;9664,52;9865;9625,41
10.08.2010;9648,74;9791,7;9817,9;9575,11
11.08.2010;9488,31;9648,74;9706,82;9460,25
12.08.2010;9478,68;9488,31;9571,86;9400,61
13.08.2010;9449,48;9478,68;9557,67;9408,94
16.08.2010;9437,11;9449,48;9519,04;9333,91
17.08.2010;9565,7;9437,11;9588,48;9419,13
18.08.2010;9522,12;9565,7;9607,66;9479,29
19.08.2010;9421,95;9522,12;9638,79;9420,85
20.08.2010;9357,1;9421,95;9454,11;9290,14
23.08.2010;9360,76;9357,1;9411,49;9259,68
24.08.2010;9183,63;9360,76;9366,11;9146,39
25.08.2010;9148,25;9183,63;9256,45;9087,62
26.08.2010;9279,6;9148,25;9293,95;9148,25
27.08.2010;9355,62;9279,6;9367,2;9191,35
30.08.2010;9379,05;9355,62;9450,19;9352,47
31.08.2010;9364,41;9379,05;9391,29;9226,49
01.09.2010;9565,93;9364,41;9576,59;9318,85
02.09.2010;9608,14;9565,93;9659,75;9545,28
03.09.2010;9681,27;9608,14;9751,08;9576,61
06.09.2010;9661,81;9681,27;9737,99;9655,03
07.09.2010;9587,8;9661,81;9673,68;9524,98
08.09.2010;9725,43;9587,8;9754,48;9537,54
09.09.2010;9840,41;9725,43;9904,43;9699,08
10.09.2010;9810,78;9840,41;9876,66;9767,79
13.09.2010;9862,7;9810,78;9941,37;9793,66
14.09.2010;9775,84;9862,7;9893,55;9754,28
15.09.2010;9791,82;9775,85;9809,82;9692,32
16.09.2010;9752,4;9791,82;9830,73;9730,46
17.09.2010;9642,62;9752,4;9826,65;9637,29
20.09.2010;9713,82;9642,62;9715,41;9611,07
21.09.2010;9758,09;9713,82;9818,61;9713,82
22.09.2010;9739,85;9758,09;9790,28;9642,13
23.09.2010;9745,78;9739,85;9796,75;9660,43
24.09.2010;9755,44;9745,78;9755,44;9661,57
27.09.2010;9633,36;9755,44;9811,43;9626,25
28.09.2010;9571,05;9633,36;9649,38;9530,38
29.09.2010;9636,37;9571,05;9674,15;9568,77
30.09.2010;9776,44;9636,37;9794,81;9631,05
01.10.2010;9923,74;9776,44;9975,12;9732,6
04.10.2010;9991,15;9923,74;10031,03;9910,81
05.10.2010;10066,9;9991,15;10069,28;9934,84
06.10.2010;10066,07;10066,9;10157,42;10015,21
07.10.2010;10038,75;10066,07;10103,22;10010,11
08.10.2010;10003,23;10038,75;10057,21;9919,56
11.10.2010;10128,86;10003,23;10130,13;9999,19
12.10.2010;10104,98;10128,86;10128,86;10016
13.10.2010;10202,84;10104,98;10242,45;10096,06
14.10.2010;10157,15;10202,84;10250,76;10125,87
15.10.2010;10177,17;10157,15;10247,02;10100,32
18.10.2010;10261,34;10177,17;10265,65;10141,79
19.10.2010;10199,72;10261,34;10351,63;10164,39
20.10.2010;10209,87;10199,72;10227,05;10070,65
