TRADEDATE;YIELD
05.03.2012;7,32
06.03.2012;7,31
07.03.2012;7,34
11.03.2012;7,46
12.03.2012;7,32
13.03.2012;7,26
14.03.2012;7,23
15.03.2012;7,23
16.03.2012;7,22
19.03.2012;7,26
20.03.2012;7,26
21.03.2012;7,28
22.03.2012;7,29
23.03.2012;7,3
26.03.2012;7,28
27.03.2012;7,28
28.03.2012;7,27
29.03.2012;7,28
30.03.2012;7,25
02.04.2012;7,37
03.04.2012;7,33
04.04.2012;7,36
05.04.2012;7,39
06.04.2012;7,36
09.04.2012;7,45
10.04.2012;7,46
11.04.2012;7,46
12.04.2012;7,45
13.04.2012;7,46
16.04.2012;7,5
17.04.2012;7,45
18.04.2012;7,44
19.04.2012;7,49
20.04.2012;7,41
23.04.2012;7,47
24.04.2012;7,45
25.04.2012;7,45
26.04.2012;7,42
27.04.2012;7,43
28.04.2012;7,44
02.05.2012;7,43
03.05.2012;7,41
04.05.2012;7,42
05.05.2012;7,46
07.05.2012;8,23
08.05.2012;8,23
10.05.2012;7,48
11.05.2012;7,51
12.05.2012;7,46
14.05.2012;7,62
15.05.2012;7,65
16.05.2012;7,83
17.05.2012;7,86
18.05.2012;7,98
21.05.2012;7,89
22.05.2012;7,84
23.05.2012;7,95
24.05.2012;8
25.05.2012;7,97
28.05.2012;8,02
29.05.2012;8,01
30.05.2012;8,03
31.05.2012;8,02
01.06.2012;8,34
04.06.2012;8,24
05.06.2012;8,22
06.06.2012;8,1
07.06.2012;8,06
08.06.2012;8,09
09.06.2012;8
13.06.2012;8,14
14.06.2012;8,15
15.06.2012;8,05
18.06.2012;8,15
19.06.2012;8,23
20.06.2012;8,12
21.06.2012;8,14
22.06.2012;8,16
25.06.2012;8,15
26.06.2012;8,18
27.06.2012;8,15
28.06.2012;8,24
29.06.2012;8,08
02.07.2012;7,92
03.07.2012;7,86
04.07.2012;7,79
05.07.2012;7,8
06.07.2012;7,82
09.07.2012;7,82
10.07.2012;7,82
11.07.2012;7,82
12.07.2012;7,76
13.07.2012;7,68
16.07.2012;7,57
17.07.2012;7,51
18.07.2012;7,5
19.07.2012;7,56
20.07.2012;7,6
23.07.2012;7,76
24.07.2012;7,78
25.07.2012;7,79
26.07.2012;7,71
27.07.2012;7,66
30.07.2012;7,69
31.07.2012;7,64
01.08.2012;7,61
02.08.2012;7,61
03.08.2012;7,6
06.08.2012;7,53
07.08.2012;7,5
08.08.2012;7,51
09.08.2012;7,52
10.08.2012;7,58
13.08.2012;7,58
14.08.2012;7,54
15.08.2012;7,57
16.08.2012;7,56
17.08.2012;7,56
20.08.2012;7,56
21.08.2012;7,54
22.08.2012;7,53
23.08.2012;7,5
24.08.2012;7,53
27.08.2012;7,5
28.08.2012;7,52
29.08.2012;7,5
30.08.2012;7,52
31.08.2012;7,51
03.09.2012;7,49
04.09.2012;7,43
05.09.2012;7,44
06.09.2012;7,4
07.09.2012;7,39
10.09.2012;7,43
11.09.2012;7,41
12.09.2012;7,4
13.09.2012;7,42
14.09.2012;7,4
17.09.2012;7,42
18.09.2012;7,44
19.09.2012;7,45
20.09.2012;7,48
21.09.2012;7,44
24.09.2012;7,46
25.09.2012;7,45
26.09.2012;7,45
27.09.2012;7,42
28.09.2012;7,42
01.10.2012;7,43
02.10.2012;7,43
03.10.2012;7,41
04.10.2012;7,38
05.10.2012;7,33
08.10.2012;7,33
09.10.2012;7,3
10.10.2012;7,28
11.10.2012;7,25
12.10.2012;7,2
15.10.2012;7,18
16.10.2012;7,13
17.10.2012;7,09
18.10.2012;7,1
19.10.2012;7,09
22.10.2012;7,12
23.10.2012;7,11
24.10.2012;7,13
25.10.2012;7,12
26.10.2012;7,13
29.10.2012;7,15
30.10.2012;7,13
31.10.2012;7,11
01.11.2012;7,14
02.11.2012;7,17
06.11.2012;7,17
07.11.2012;7,17
08.11.2012;7,14
09.11.2012;7,2
12.11.2012;7,14
13.11.2012;7,15
14.11.2012;7,18
15.11.2012;7,14
16.11.2012;7,18
19.11.2012;7,1
