TRADEDATE;YIELD
01.04.2008;
02.04.2008;
03.04.2008;
04.04.2008;
07.04.2008;
08.04.2008;
09.04.2008;
10.04.2008;
11.04.2008;
14.04.2008;
15.04.2008;
16.04.2008;
17.04.2008;
18.04.2008;
21.04.2008;
22.04.2008;
23.04.2008;
24.04.2008;
25.04.2008;
28.04.2008;
29.04.2008;
30.04.2008;
04.05.2008;8,36
05.05.2008;8,46
06.05.2008;8,32
07.05.2008;8,31
08.05.2008;8,26
12.05.2008;8,27
13.05.2008;8,3
14.05.2008;8,3
15.05.2008;8,3
16.05.2008;8,33
19.05.2008;8,34
20.05.2008;8,32
21.05.2008;8,29
22.05.2008;8,25
23.05.2008;8,24
26.05.2008;8,32
27.05.2008;8,24
28.05.2008;8,24
29.05.2008;8,21
30.05.2008;8,14
02.06.2008;8,23
03.06.2008;8,22
04.06.2008;8,21
05.06.2008;8,23
06.06.2008;8,22
07.06.2008;8,21
09.06.2008;8,22
10.06.2008;8,22
11.06.2008;8,25
16.06.2008;8,31
17.06.2008;8,36
18.06.2008;8,35
19.06.2008;8,36
20.06.2008;8,37
23.06.2008;8,39
24.06.2008;8,5
25.06.2008;8,57
26.06.2008;8,71
27.06.2008;8,77
30.06.2008;8,75
01.07.2008;8,8
02.07.2008;8,76
03.07.2008;8,78
04.07.2008;8,75
07.07.2008;8,77
08.07.2008;8,84
09.07.2008;8,81
10.07.2008;8,83
11.07.2008;8,89
14.07.2008;8,87
15.07.2008;8,9
16.07.2008;8,91
17.07.2008;8,96
18.07.2008;8,92
21.07.2008;8,92
22.07.2008;8,91
23.07.2008;8,94
24.07.2008;8,96
25.07.2008;9,02
28.07.2008;9,1
29.07.2008;9,09
30.07.2008;9,15
31.07.2008;9,07
01.08.2008;9,4
04.08.2008;9,42
05.08.2008;9,42
06.08.2008;9,36
07.08.2008;9,37
08.08.2008;9,41
11.08.2008;9,45
12.08.2008;9,45
13.08.2008;9,44
14.08.2008;9,47
15.08.2008;9,48
18.08.2008;9,49
19.08.2008;9,54
20.08.2008;9,67
21.08.2008;9,74
22.08.2008;9,69
25.08.2008;9,81
26.08.2008;10,07
27.08.2008;10,06
