TRADEDATE;YIELD
01.04.2008;8,14
02.04.2008;8,02
03.04.2008;8
04.04.2008;7,95
07.04.2008;8
08.04.2008;8,01
09.04.2008;7,99
10.04.2008;8
11.04.2008;7,99
14.04.2008;8
15.04.2008;7,98
16.04.2008;7,97
17.04.2008;7,97
18.04.2008;7,95
21.04.2008;7,95
22.04.2008;7,92
23.04.2008;7,94
24.04.2008;7,93
25.04.2008;7,94
28.04.2008;7,96
29.04.2008;7,98
30.04.2008;7,9
04.05.2008;7,97
05.05.2008;7,97
06.05.2008;7,94
07.05.2008;7,94
08.05.2008;7,94
12.05.2008;7,94
13.05.2008;7,99
14.05.2008;7,98
15.05.2008;7,99
16.05.2008;8
19.05.2008;7,99
20.05.2008;8,01
21.05.2008;8
22.05.2008;7,97
23.05.2008;7,97
26.05.2008;7,96
27.05.2008;7,96
28.05.2008;7,97
29.05.2008;7,96
30.05.2008;7,9
02.06.2008;7,94
03.06.2008;7,98
04.06.2008;8
05.06.2008;8,02
06.06.2008;8,04
07.06.2008;8,04
09.06.2008;8,02
10.06.2008;8,03
11.06.2008;8,03
16.06.2008;8
17.06.2008;8,05
18.06.2008;8,04
19.06.2008;8,04
20.06.2008;8,05
23.06.2008;8,02
24.06.2008;8,03
25.06.2008;8,04
26.06.2008;8,12
27.06.2008;8,21
30.06.2008;8,14
01.07.2008;8,21
02.07.2008;8,18
03.07.2008;8,28
04.07.2008;8,25
07.07.2008;8,31
08.07.2008;8,29
09.07.2008;8,37
10.07.2008;8,39
11.07.2008;8,42
14.07.2008;8,45
15.07.2008;8,46
16.07.2008;8,49
17.07.2008;8,46
18.07.2008;8,52
21.07.2008;8,49
22.07.2008;8,62
23.07.2008;8,63
24.07.2008;8,61
25.07.2008;8,69
28.07.2008;8,61
29.07.2008;8,63
30.07.2008;8,88
31.07.2008;8,79
01.08.2008;8,8
04.08.2008;9,04
05.08.2008;9,03
06.08.2008;8,99
07.08.2008;9,02
08.08.2008;9,09
11.08.2008;9,2
12.08.2008;9,16
13.08.2008;9,14
14.08.2008;9,1
15.08.2008;9,22
18.08.2008;9,25
19.08.2008;9,33
20.08.2008;9,25
21.08.2008;9,24
22.08.2008;9,26
25.08.2008;9,23
26.08.2008;9,63
27.08.2008;9,59
28.08.2008;9,54
29.08.2008;9,58
01.09.2008;9,33
02.09.2008;9,35
03.09.2008;9,69
04.09.2008;10,15
05.09.2008;10,31
08.09.2008;9,8
09.09.2008;10,31
10.09.2008;9,75
11.09.2008;9,87
12.09.2008;9,79
15.09.2008;9,81
16.09.2008;10,33
17.09.2008;10,34
18.09.2008;10,34
19.09.2008;10,83
22.09.2008;10,46
23.09.2008;10,19
24.09.2008;10,02
25.09.2008;10,48
26.09.2008;10,8
29.09.2008;10,62
30.09.2008;10,39
01.10.2008;10,44
02.10.2008;10,28
03.10.2008;10,54
06.10.2008;10,51
07.10.2008;10,91
08.10.2008;10,98
09.10.2008;10,98
10.10.2008;10,78
13.10.2008;11,25
14.10.2008;11,37
15.10.2008;11,61
16.10.2008;11,64
17.10.2008;11,85
20.10.2008;12,29
21.10.2008;12,27
22.10.2008;12,09
23.10.2008;12,26
24.10.2008;13,59
27.10.2008;12,16
28.10.2008;12,68
29.10.2008;12,82
30.10.2008;12,92
31.10.2008;13,37
01.11.2008;13,7
05.11.2008;12,93
06.11.2008;13,37
07.11.2008;14,63
10.11.2008;14,83
11.11.2008;14,59
12.11.2008;13,87
13.11.2008;14,53
14.11.2008;14,17
17.11.2008;14,14
18.11.2008;13,78
19.11.2008;14,7
20.11.2008;13,45
21.11.2008;13,53
24.11.2008;13,08
25.11.2008;13,79
26.11.2008;14,01
27.11.2008;13,77
28.11.2008;14,66
01.12.2008;15,87
02.12.2008;14,95
03.12.2008;15,58
04.12.2008;15,71
05.12.2008;16,57
08.12.2008;16,58
09.12.2008;16,18
10.12.2008;16,55
11.12.2008;17,35
12.12.2008;17,74
15.12.2008;17,85
16.12.2008;17,96
17.12.2008;17,68
18.12.2008;18,21
19.12.2008;20,54
22.12.2008;19,84
23.12.2008;19,41
24.12.2008;18,64
25.12.2008;17,71
26.12.2008;17,76
29.12.2008;18,01
30.12.2008;19,09
31.12.2008;17,76
11.01.2009;19,08
12.01.2009;19,35
13.01.2009;19,88
14.01.2009;19,27
15.01.2009;19,35
16.01.2009;19,4
19.01.2009;19,38
20.01.2009;19,59
21.01.2009;19,74
