age,F,M
0.0,1071.85,1016.058
1.0,1062.108,1005.985
2.0,1049.959,993.263
3.0,1037.626,980.29
4.0,1025.139,967.2
5.0,1012.578,954.017
6.0,999.984,940.778
7.0,987.313,927.492
8.0,974.624,914.151
9.0,961.886,900.764
10.0,949.101,887.332
11.0,936.28,873.853
12.0,923.435,860.338
13.0,910.561,846.786
14.0,897.655,833.215
15.0,884.734,819.634
16.0,871.78,806.045
17.0,858.812,792.436
18.0,845.821,778.859
19.0,832.851,765.372
20.0,819.895,751.982
21.0,806.93,738.694
22.0,793.948,725.48
23.0,780.964,712.228
24.0,768.0,699.076
25.0,755.05,685.939
26.0,742.099,672.877
27.0,729.132,659.791
28.0,716.189,646.786
29.0,703.271,633.849
30.0,690.362,620.92
31.0,677.47,608.092
32.0,664.594,595.228
33.0,651.725,582.377
34.0,638.897,569.65
35.0,626.114,557.028
36.0,613.38,544.499
37.0,600.633,531.956
38.0,587.925,519.503
39.0,575.265,507.179
40.0,562.648,495.037
41.0,550.087,483.018
42.0,537.545,470.905
43.0,525.013,458.9
44.0,512.57,447.09
45.0,500.149,435.358
46.0,487.789,423.726
47.0,475.447,412.151
48.0,463.156,400.603
49.0,450.93,389.188
50.0,438.744,377.942
51.0,426.638,366.859
52.0,414.518,355.573
53.0,402.406,344.353
54.0,390.355,333.312
55.0,378.344,322.487
56.0,366.48,311.949
57.0,354.633,301.406
58.0,342.882,291.037
59.0,331.213,280.853
60.0,319.684,270.907
61.0,308.299,261.291
62.0,296.992,251.736
63.0,285.796,242.423
64.0,274.832,233.388
65.0,264.045,224.598
66.0,253.407,215.87
67.0,242.893,207.383
68.0,232.54,199.096
69.0,222.35,190.999
70.0,212.255,183.004
71.0,202.344,175.378
72.0,192.433,167.579
73.0,182.716,159.816
74.0,173.302,152.618
75.0,163.64,144.826
76.0,154.612,138.152
77.0,145.151,130.316
78.0,135.926,122.597
79.0,127.107,115.457
80.0,118.183,107.762
81.0,110.421,101.807
82.0,102.496,95.365
83.0,95.111,89.313
84.0,88.256,83.96
85.0,81.381,78.468
86.0,75.009,73.368
87.0,68.816,68.271
88.0,62.924,63.409
89.0,57.126,58.576
90.0,51.604,53.86
91.0,46.649,49.767
92.0,42.471,45.994
93.0,38.8,42.444
94.0,35.629,40.305
95.0,32.845,37.828
96.0,29.574,34.442
97.0,26.126,30.253
98.0,21.314,24.149
99.0,14.995,16.153
100.0,6.0,6.0
