metric_name,metric_value,scenario,n,salary,i
savings,137132.08207584242,pds,15,50000,0
roi,1.6778966182457447,pds,15,50000,0
irr,0.11669715653500345,pds,15,50000,0
twr,0.14764171178437446,pds,15,50000,0
pension,506.1961561563283,pds,15,50000,0
kz,0.12148707747751882,pds,15,50000,0
savings,139795.21331229215,pds,15,50000,1
roi,1.7299018822516476,pds,15,50000,1
irr,0.11887048329817085,pds,15,50000,1
twr,0.14672212734308632,pds,15,50000,1
pension,516.0265822304044,pds,15,50000,1
kz,0.12384637973529708,pds,15,50000,1
savings,143088.20747716588,pds,15,50000,2
roi,1.7942070237220533,pds,15,50000,2
irr,0.12149775213735636,pds,15,50000,2
twr,0.15422305383220336,pds,15,50000,2
pension,528.1820236360297,pds,15,50000,2
kz,0.12676368567264715,pds,15,50000,2
savings,144812.68050969607,pds,15,50000,3
roi,1.8278822981885678,pds,15,50000,3
irr,0.12284810257184064,pds,15,50000,3
twr,0.15366040805839498,pds,15,50000,3
pension,534.5475772486354,pds,15,50000,3
kz,0.12829141853967252,pds,15,50000,3
savings,137603.4274290259,pds,15,50000,4
roi,1.687100986094676,pds,15,50000,4
irr,0.11708506554894971,pds,15,50000,4
twr,0.1437472439472096,pds,15,50000,4
pension,507.9360349825804,pds,15,50000,4
kz,0.12190464839581931,pds,15,50000,4
savings,181955.4079799887,pds,15,50000,5
roi,2.5532004205380123,pds,15,50000,5
irr,0.14841310343778047,pds,15,50000,5
twr,0.17240264671150407,pds,15,50000,5
pension,671.6526630171561,pds,15,50000,5
kz,0.1611966391241175,pds,15,50000,5
savings,169458.88029658367,pds,15,50000,6
roi,2.3091699302498476,pds,15,50000,6
irr,0.1404786319753133,pds,15,50000,6
twr,0.1645475371871039,pds,15,50000,6
pension,625.5241846706939,pds,15,50000,6
kz,0.15012580432096656,pds,15,50000,6
savings,169373.66762236247,pds,15,50000,7
roi,2.3075059087555747,pds,15,50000,7
irr,0.14042244535181947,pds,15,50000,7
twr,0.1648481755670872,pds,15,50000,7
pension,625.2096388146578,pds,15,50000,7
kz,0.15005031331551788,pds,15,50000,7
savings,229366.1037475186,pds,15,50000,8
